married,dependents,education,self_employed,applicantincome,coapplicantincome,loan_amount_term,credit_history,property_area,loanamount,prediction
Yes,,Graduate,No,5667,2667.0,360.0,1.0,Rural,5.198497031265826,5.248981612382417
Yes,2,Graduate,,5000,0.0,360.0,0.0,Semiurban,4.290459441148391,4.9228031525749625
Yes,2,Not Graduate,No,3357,2859.0,360.0,1.0,Urban,4.976733742420574,4.868423981145886
Yes,2,Graduate,No,3153,1560.0,360.0,1.0,Urban,4.90527477843843,4.857473672834993
Yes,0,Not Graduate,No,1863,1041.0,360.0,1.0,Semiurban,4.59511985013459,4.570303802531119
No,1,Not Graduate,,5191,0.0,360.0,1.0,Semiurban,4.890349128221754,4.825765987762465
Yes,3+,Graduate,No,5703,0.0,360.0,1.0,Urban,4.859812404361672,4.919144734532893
No,0,Graduate,No,2500,20000.0,360.0,1.0,Semiurban,4.6443908991413725,4.817313547837527
Yes,0,Not Graduate,No,2400,3800.0,180.0,1.0,Urban,4.709530201312334,4.588173010437156
Yes,3+,Graduate,No,5250,0.0,360.0,1.0,Urban,4.553876891600541,4.881536180146637
Yes,0,Graduate,,5746,0.0,360.0,nan,Urban,5.545177444479562,5.029905875369171
Yes,0,Graduate,No,20667,0.0,360.0,1.0,Rural,4.709530201312334,5.432866698998603
Yes,0,Graduate,No,5821,0.0,360.0,1.0,Urban,4.976733742420574,4.841971430459787
No,0,Graduate,No,2366,2531.0,360.0,1.0,Semiurban,4.919980925828125,4.701521731084966
Yes,2,Graduate,No,1378,1881.0,360.0,1.0,Urban,5.123963979403259,4.489681954444966
No,0,Graduate,No,2400,1863.0,360.0,0.0,Urban,4.653960350157523,4.776760943050451
Yes,2,Graduate,Yes,4583,2083.0,360.0,1.0,Semiurban,5.081404364984463,5.088364853645164
Yes,0,Graduate,No,5708,5625.0,360.0,1.0,Semiurban,5.236441962829949,5.197200593964621
No,0,Graduate,No,6000,0.0,360.0,1.0,Urban,5.056245805348308,4.795258766137005
No,0,Graduate,No,645,3683.0,480.0,1.0,Rural,4.736198448394496,4.2707057935226
Yes,0,Graduate,No,1820,1719.0,360.0,1.0,Urban,4.61512051684126,4.64091576741534
Yes,1,Graduate,No,8072,240.0,360.0,1.0,Urban,5.537334267018537,5.26023199955355
Yes,0,Graduate,No,2620,2223.0,360.0,1.0,Semiurban,5.017279836814924,4.80262856702138
Yes,2,Graduate,No,2873,1872.0,360.0,0.0,Semiurban,4.890349128221754,4.875263439544254
Yes,0,Graduate,No,5726,4595.0,360.0,1.0,Semiurban,5.556828061699537,5.189750952207881
No,0,Not Graduate,No,2333,1451.0,480.0,0.0,Urban,4.634728988229636,4.821540824538098
Yes,3+,Not Graduate,No,3522,0.0,180.0,1.0,Rural,4.406719247264253,4.5019998510645545
No,3+,Graduate,No,12500,3000.0,360.0,1.0,Rural,5.771441123130016,5.58198572699879
No,0,Graduate,No,4000,2275.0,360.0,1.0,Semiurban,4.976733742420574,4.935411399845739
Yes,1,Graduate,No,1538,1425.0,360.0,1.0,Urban,3.4339872044851463,4.585041106028827
Yes,0,Graduate,No,2583,2115.0,360.0,nan,Urban,4.795790545596741,4.876188910832886
Yes,0,Graduate,No,3087,2210.0,360.0,0.0,Semiurban,4.919980925828125,4.9440166033141715
No,0,Not Graduate,No,3200,2254.0,180.0,0.0,Urban,4.844187086458591,4.7025931885107095
No,0,Graduate,No,2995,0.0,360.0,1.0,Urban,4.110873864173311,4.479549061638449
Yes,0,Graduate,No,2958,2900.0,360.0,1.0,Semiurban,4.882801922586371,4.869426568238273
Yes,0,Graduate,No,3173,3021.0,360.0,1.0,Urban,4.927253685157205,4.9181836042683
No,1,Not Graduate,Yes,3867,0.0,360.0,1.0,Semiurban,4.143134726391533,4.628621329212477
Yes,3+,Graduate,Yes,10139,0.0,360.0,1.0,Semiurban,5.564520407322694,5.228888883939332
Yes,0,Graduate,No,3887,2669.0,360.0,1.0,Semiurban,5.093750200806762,4.989877747199626
Yes,3+,Graduate,No,4691,0.0,360.0,1.0,Semiurban,4.61512051684126,4.81529503448261
Yes,3+,Graduate,No,4281,0.0,360.0,1.0,Urban,4.61512051684126,4.788821234113733
Yes,0,Not Graduate,Yes,2609,3449.0,180.0,0.0,Rural,5.111987788356544,4.767411578279588
Yes,0,Graduate,No,3707,3166.0,,1.0,Rural,5.209486152841421,4.766695285884063
No,0,Graduate,Yes,7167,0.0,360.0,1.0,Urban,4.859812404361672,4.939373295614027
No,0,Not Graduate,No,3598,1287.0,360.0,1.0,Rural,4.61512051684126,4.848326628204617
Yes,0,Graduate,No,3232,1950.0,360.0,1.0,Rural,4.6913478822291435,4.92242178527866
No,0,Not Graduate,No,2720,0.0,,0.0,Urban,4.394449154672439,4.219486725885606
No,0,Graduate,No,3510,0.0,360.0,0.0,Urban,4.343805421853684,4.618765368241131
Yes,1,Graduate,No,3089,1280.0,360.0,0.0,Semiurban,4.804021044733257,4.949167852963584
Yes,0,Graduate,No,2500,3796.0,360.0,1.0,Urban,4.795790545596741,4.819903731376887
No,0,Graduate,No,10408,0.0,360.0,1.0,Urban,5.560681631015528,5.0455660162226925
No,1,Not Graduate,No,4606,0.0,360.0,1.0,Rural,4.406719247264253,4.674900340865294
No,0,Graduate,No,8566,0.0,360.0,1.0,Urban,5.351858133476067,4.9570528824406335
Yes,2,Graduate,No,3283,2035.0,360.0,1.0,Urban,5.003946305945459,4.887497529577137
Yes,0,Graduate,No,3015,2188.0,360.0,1.0,Rural,5.0369526024136295,4.895899191316262
Yes,1,Graduate,Yes,9833,1833.0,180.0,1.0,Urban,5.209486152841421,5.333283091936
No,2,Graduate,,3750,2083.0,360.0,1.0,Semiurban,4.795790545596741,5.000093379994844
Yes,0,Graduate,No,3103,1300.0,360.0,1.0,Urban,4.394449154672439,4.871036288517615
Yes,,Not Graduate,No,3523,3230.0,360.0,0.0,Rural,5.030437921392435,5.064397602010576
No,0,Not Graduate,,7333,0.0,360.0,1.0,Rural,4.795790545596741,4.984088995886193
No,1,Not Graduate,No,2679,1302.0,360.0,1.0,Semiurban,4.553876891600541,4.713492356125695
Yes,0,Graduate,No,7578,1010.0,,1.0,Semiurban,5.170483995038151,5.011290717167343
Yes,3+,Graduate,No,6406,0.0,360.0,1.0,Semiurban,5.017279836814924,4.956882910026873
Yes,0,Graduate,No,2666,4300.0,360.0,1.0,Rural,4.804021044733257,4.86966840850827
Yes,2,Not Graduate,No,3273,1820.0,360.0,1.0,Urban,4.406719247264253,4.83708513802782
Yes,3+,Graduate,,4416,1250.0,360.0,1.0,Urban,4.709530201312334,5.242827566743106
Yes,2,Graduate,No,8333,0.0,360.0,1.0,Semiurban,5.5093883366279774,4.961085819728911
Yes,1,Graduate,No,6083,4250.0,360.0,nan,Urban,5.802118375377063,5.324841865815575
No,0,Graduate,,3418,0.0,360.0,1.0,Rural,4.912654885736052,4.681360748035953
Yes,0,Graduate,No,4652,3583.0,360.0,1.0,Semiurban,4.709530201312334,5.084440685187455
Yes,2,Not Graduate,No,3675,242.0,360.0,1.0,Semiurban,4.6913478822291435,4.786186369315454
Yes,0,Graduate,No,6250,0.0,360.0,1.0,Semiurban,4.859812404361672,4.859200414463747
Yes,0,Graduate,No,2383,2138.0,360.0,nan,Rural,4.07753744390572,4.855134675958437
No,0,Graduate,No,3846,0.0,360.0,1.0,Semiurban,4.718498871295094,4.578094236472019
Yes,2,Graduate,No,2031,1632.0,480.0,1.0,Semiurban,4.736198448394496,4.757290892954872
Yes,2,Graduate,No,5391,0.0,360.0,1.0,Urban,4.875197323201151,4.778273163954658
No,1,Graduate,No,3062,1987.0,180.0,0.0,Urban,4.718498871295094,4.749982001788489
No,0,Graduate,No,1926,1851.0,360.0,1.0,Semiurban,3.9318256327243257,4.594317632806398
Yes,0,Graduate,No,2768,1950.0,360.0,1.0,Rural,5.049856007249537,4.852010459460111
Yes,0,Not Graduate,No,2583,2358.0,360.0,1.0,Urban,4.795790545596741,4.769713757948217
No,0,Not Graduate,No,1907,2365.0,,1.0,Urban,4.795790545596741,4.332225991236729
Yes,1,Graduate,No,12841,10968.0,360.0,1.0,Semiurban,5.857933154483459,5.62379229102979
Yes,0,Not Graduate,No,1668,3890.0,360.0,0.0,Semiurban,5.308267697401205,4.645067147530896
No,0,Graduate,No,4000,2500.0,360.0,1.0,Rural,4.948759890378168,4.969719559888205
Yes,0,Graduate,No,10833,0.0,360.0,1.0,Semiurban,5.459585514144159,5.109145524194087
No,2,Graduate,No,5532,4648.0,360.0,1.0,Rural,5.093750200806762,5.115458080799222
No,0,Graduate,No,2378,0.0,360.0,1.0,Rural,3.8501476017100584,4.389829023189963
No,0,Graduate,Yes,7441,0.0,360.0,1.0,Rural,5.272999558563747,4.971506585715568
Yes,1,Not Graduate,No,6608,0.0,180.0,1.0,Urban,4.927253685157205,4.715190478376139
No,0,Graduate,No,4166,0.0,360.0,0.0,Semiurban,4.59511985013459,4.681533144455184
No,0,Not Graduate,Yes,17263,0.0,360.0,1.0,Semiurban,5.420534999272286,5.279658066319763
