married,dependents,education,self_employed,applicantincome,coapplicantincome,loan_amount_term,credit_history,property_area,loanamount,prediction
Yes,0,Graduate,No,2473,1843.0,360.0,1.0,Rural,5.075173815233827,4.798335241166769
Yes,0,Not Graduate,No,6033,0.0,360.0,1.0,Urban,5.081404364984463,4.814101556414245
Yes,1,Graduate,No,1782,2232.0,360.0,1.0,Rural,4.68213122712422,4.6867048928712585
Yes,2,Graduate,No,3900,0.0,360.0,1.0,Semiurban,4.51085950651685,4.616078615292485
No,0,Graduate,No,3180,0.0,360.0,0.0,Urban,4.276666119016055,4.573904930078974
No,0,Graduate,No,2060,2209.0,360.0,1.0,Semiurban,4.90527477843843,4.632632617255671
Yes,0,Graduate,No,8334,0.0,360.0,1.0,Semiurban,5.081404364984463,4.989966847001899
No,0,Graduate,No,8750,4167.0,360.0,1.0,Rural,5.733341276897746,5.34784307212672
,,Graduate,No,3816,754.0,360.0,1.0,Urban,5.081404364984463,4.877816331816697
No,0,Graduate,No,2500,0.0,360.0,1.0,Urban,4.219507705176107,4.397474119496461
Yes,0,Graduate,No,9328,0.0,180.0,1.0,Rural,5.241747015059643,4.902233512417471
Yes,2,Not Graduate,No,4200,1430.0,360.0,1.0,Rural,4.867534450455582,4.954893557301888
Yes,1,Graduate,No,9538,0.0,360.0,1.0,Urban,5.236441962829949,5.095199373660563
No,1,Not Graduate,No,3596,0.0,240.0,nan,Urban,4.61512051684126,4.5017274771610065
No,0,Graduate,No,4750,0.0,360.0,1.0,Semiurban,4.553876891600541,4.674019306286098
Yes,2,Graduate,Yes,2500,4600.0,360.0,1.0,Rural,5.176149732573829,4.877947550459455
Yes,0,Not Graduate,No,2149,3237.0,360.0,0.0,Semiurban,5.187385805840755,4.752095505074544
No,0,Graduate,No,4166,0.0,360.0,1.0,Semiurban,3.8066624897703196,4.614409125179182
Yes,,Graduate,No,13650,0.0,360.0,1.0,Urban,4.709530201312334,5.286925589061984
No,0,Graduate,No,4230,0.0,360.0,1.0,Semiurban,4.727387818712341,4.6213364509874175
Yes,0,Graduate,No,4750,2333.0,360.0,1.0,Urban,4.875197323201151,5.090162261972937
No,0,Not Graduate,No,2000,0.0,360.0,1.0,Urban,4.709530201312334,4.25197806959825
Yes,2,Graduate,No,14866,0.0,360.0,1.0,Urban,4.2626798770413155,5.239228173691717
Yes,3+,Graduate,No,4333,1811.0,360.0,0.0,Urban,5.081404364984463,5.1908970877405025
Yes,0,Graduate,No,20833,6667.0,360.0,nan,Urban,6.175867270105761,5.8752258576944865
No,1,Graduate,No,13262,0.0,360.0,1.0,Urban,3.713572066704308,5.184518486120904
No,0,Graduate,No,3166,2985.0,360.0,nan,Rural,4.890349128221754,4.9383863404806
Yes,1,Graduate,Yes,10513,3850.0,180.0,0.0,Urban,5.081404364984463,5.463373445939904
No,0,Graduate,Yes,2600,1717.0,300.0,1.0,Semiurban,4.605170185988092,4.7343177546500534
Yes,0,Graduate,No,3948,1733.0,360.0,0.0,Rural,5.0106352940962555,5.075288944085779
Yes,1,Graduate,No,3333,3250.0,360.0,1.0,Urban,5.0689042022202315,4.9725697180822745
No,0,Graduate,No,5316,0.0,360.0,1.0,Urban,4.919980925828125,4.740257956103935
Yes,2,Graduate,Yes,1600,20000.0,360.0,1.0,Urban,5.480638923341991,4.724668131809127
No,0,Graduate,No,4160,0.0,360.0,1.0,Semiurban,4.276666119016055,4.613754242187106
No,0,Graduate,No,2378,0.0,360.0,1.0,Urban,2.302585092994046,4.374744947569627
Yes,0,Graduate,No,3013,3033.0,300.0,nan,Urban,4.564348191467836,4.905604736850178
No,0,Graduate,No,3158,3053.0,360.0,1.0,Rural,4.499809670330265,4.871101685848863
Yes,0,Graduate,No,4310,0.0,360.0,nan,Semiurban,4.875197323201151,4.757449354029006
Yes,1,Graduate,No,3400,2500.0,360.0,1.0,Semiurban,5.159055299214529,4.955010547958697
No,0,Graduate,Yes,6950,0.0,180.0,1.0,Semiurban,5.170483995038151,4.7412115735497276
No,3+,Graduate,Yes,9357,0.0,360.0,1.0,Semiurban,5.680172609017068,5.131937635576817
Yes,0,Not Graduate,No,2333,1516.0,360.0,1.0,Urban,4.564348191467836,4.7040781958568205
Yes,3+,Graduate,No,8750,4996.0,360.0,1.0,Rural,4.875197323201151,5.502764598845
Yes,2,Graduate,,2500,1840.0,360.0,1.0,Urban,4.700480365792417,4.885989621952723
Yes,0,Graduate,No,7333,8333.0,300.0,nan,Rural,5.170483995038151,5.369219662699027
No,0,Graduate,Yes,6050,4333.0,180.0,1.0,Urban,4.795790545596741,5.061038523691988
No,0,Graduate,Yes,3463,0.0,360.0,nan,Urban,4.812184355372417,4.675991898969402
No,0,Graduate,No,8333,0.0,360.0,1.0,Semiurban,5.638354669333745,4.929436698563151
No,0,Graduate,No,2138,0.0,360.0,0.0,Semiurban,4.605170185988092,4.37845374233318
Yes,2,Not Graduate,No,3083,2168.0,360.0,1.0,Urban,4.844187086458591,4.817593564041826
Yes,0,Graduate,No,2499,2458.0,360.0,1.0,Semiurban,5.081404364984463,4.785558315190891
No,0,Graduate,No,3660,5064.0,360.0,1.0,Semiurban,5.236441962829949,4.930179076276831
Yes,1,Graduate,No,8080,2250.0,360.0,1.0,Urban,5.198497031265826,5.358805062859333
Yes,0,Graduate,No,2297,1522.0,360.0,1.0,Urban,4.653960350157523,4.741312066685682
No,0,Not Graduate,No,3189,2598.0,,1.0,Rural,4.795790545596741,4.585026368373623
Yes,0,Graduate,No,3166,2064.0,360.0,0.0,Urban,4.653960350157523,4.96758147441628
Yes,,Graduate,No,5116,1451.0,360.0,0.0,Urban,5.111987788356544,5.227823990114009
Yes,1,Graduate,Yes,2178,0.0,300.0,0.0,Rural,4.204692619390966,4.51332752205187
Yes,1,Not Graduate,No,3500,1083.0,360.0,1.0,Urban,4.912654885736052,4.902424869130842
Yes,2,Graduate,Yes,2726,0.0,360.0,0.0,Semiurban,4.672828834461906,4.583833295881309
Yes,2,Graduate,,2583,2330.0,360.0,1.0,Rural,4.836281906951478,4.926275478377443
Yes,3+,Graduate,No,3400,2500.0,360.0,0.0,Rural,4.820281565605037,5.109955710997613
Yes,0,Graduate,Yes,3000,0.0,360.0,1.0,Urban,4.204692619390966,4.604134172045358
No,0,Graduate,No,4843,3806.0,360.0,1.0,Semiurban,5.0238805208462765,5.044899391889378
No,3+,Graduate,No,3083,0.0,360.0,1.0,Rural,5.545177444479562,4.59426979720716
Yes,0,Not Graduate,No,2167,2400.0,360.0,1.0,Urban,4.7535901911063645,4.690710769426998
Yes,3+,Not Graduate,No,3095,0.0,360.0,1.0,Rural,4.736198448394496,4.6123851697911125
Yes,1,Graduate,No,5649,0.0,360.0,1.0,Urban,3.8066624897703196,4.85716858262795
Yes,0,Graduate,No,3250,0.0,360.0,1.0,Rural,5.14166355650266,4.59223347274976
Yes,0,Not Graduate,No,4887,0.0,360.0,1.0,Rural,4.897839799950911,4.733458073730741
No,0,Graduate,No,2237,0.0,480.0,0.0,Semiurban,4.1588830833596715,4.5117541412187
No,0,Graduate,No,6283,4416.0,360.0,0.0,Rural,5.3471075307174685,5.267006234636405
Yes,2,Graduate,No,3276,484.0,360.0,nan,Semiurban,4.912654885736052,4.8755661040814315
Yes,0,Graduate,No,2425,2340.0,360.0,1.0,Semiurban,4.969813299576001,4.7697426912211345
Yes,1,Graduate,No,7250,1667.0,,0.0,Urban,4.709530201312334,5.124205961278676
Yes,0,Graduate,No,3246,1417.0,360.0,1.0,Semiurban,4.9344739331306915,4.880204125398155
Yes,0,Graduate,No,2333,2417.0,360.0,1.0,Urban,4.919980925828125,4.768677340797192
No,0,Graduate,No,4133,0.0,360.0,1.0,Semiurban,4.812184355372417,4.610795534840568
Yes,3+,Not Graduate,Yes,5703,0.0,360.0,1.0,Rural,4.875197323201151,4.953455191040396
Yes,0,Graduate,No,14683,2100.0,360.0,1.0,Rural,5.720311776607412,5.613474278410834
Yes,0,Graduate,Yes,2083,4083.0,360.0,nan,Semiurban,5.081404364984463,4.855595835789817
Yes,2,Graduate,No,11417,1126.0,360.0,1.0,Urban,5.420534999272286,5.42787590909599
Yes,1,Graduate,No,14583,0.0,180.0,1.0,Rural,5.225746673713202,5.134124299523042
Yes,2,Graduate,No,5185,0.0,360.0,1.0,Semiurban,5.049856007249537,4.745485077303787
Yes,2,Not Graduate,No,4652,0.0,360.0,1.0,Rural,4.709530201312334,4.682238441578695
No,0,Graduate,No,2507,0.0,360.0,1.0,Rural,4.04305126783455,4.413828477846331
Yes,0,Graduate,No,1828,1330.0,,0.0,Urban,4.61512051684126,4.459468724601759
Yes,0,Graduate,No,9083,0.0,360.0,1.0,Semiurban,5.43372200355424,5.029076104766055
Yes,2,Not Graduate,No,3917,0.0,360.0,1.0,Semiurban,4.8283137373023015,4.573929657242132
Yes,0,Not Graduate,No,3406,4417.0,360.0,1.0,Semiurban,4.820281565605037,4.907847930367136
Yes,2,Graduate,No,4009,1717.0,360.0,1.0,Semiurban,4.762173934797756,4.955729967296208
Yes,2,Graduate,No,9703,0.0,360.0,1.0,Urban,4.727387818712341,5.04534064153124
Yes,3+,Graduate,No,5167,3167.0,360.0,1.0,Semiurban,5.303304908059076,5.213211177979228
Yes,2,Graduate,No,3100,1400.0,360.0,1.0,Urban,4.736198448394496,4.845022431493473
Yes,0,Graduate,No,1809,1868.0,360.0,1.0,Urban,4.51085950651685,4.6418105462069805
No,0,Graduate,No,2137,8980.0,360.0,0.0,Semiurban,4.927253685157205,4.7780024704338
Yes,2,Graduate,Yes,7948,7166.0,360.0,1.0,Rural,6.175867270105761,5.422962223389887
Yes,0,Graduate,No,9323,0.0,180.0,1.0,Urban,4.330733340286331,4.88690578230255
Yes,2,Graduate,Yes,17500,0.0,360.0,1.0,Rural,5.993961427306569,5.391797368587967
Yes,2,Graduate,No,4865,5624.0,360.0,1.0,Semiurban,5.342334251964811,5.095751886652101
Yes,1,Graduate,No,3315,0.0,360.0,1.0,Semiurban,4.574710978503383,4.599889147282185
Yes,0,Graduate,No,3597,2157.0,360.0,0.0,Rural,4.787491742782046,5.04258986697785
No,,Graduate,No,3813,0.0,180.0,1.0,Urban,4.762173934797756,4.477809686887207
No,0,Not Graduate,No,3400,0.0,360.0,1.0,Rural,4.564348191467836,4.508133164638004
Yes,0,Graduate,No,3208,3066.0,360.0,1.0,Urban,5.153291594497779,4.923816986836508
Yes,0,Graduate,,63337,0.0,180.0,1.0,Urban,6.19644412779452,5.884361138849098
Yes,0,Not Graduate,No,4188,0.0,180.0,1.0,Semiurban,4.7535901911063645,4.464046542862736
Yes,1,Graduate,No,6325,0.0,360.0,1.0,Semiurban,5.170483995038151,4.893447449469419
Yes,2,Graduate,No,8799,0.0,360.0,0.0,Urban,5.556828061699537,5.068021822450616
Yes,1,Graduate,,4166,3369.0,360.0,nan,Urban,5.308267697401205,5.269337482052303
Yes,0,Not Graduate,Yes,7142,0.0,360.0,1.0,Rural,4.9344739331306915,4.969219835325582
No,0,Graduate,No,3865,1640.0,360.0,1.0,Rural,4.709530201312334,4.935614186336387
Yes,1,Graduate,No,4583,1508.0,360.0,1.0,Rural,4.859812404361672,5.098656446099679
No,1,Graduate,No,3541,0.0,360.0,nan,Semiurban,4.727387818712341,4.6365030365729405
Yes,2,Not Graduate,No,4226,1040.0,360.0,1.0,Urban,4.709530201312334,4.9286399458739165
Yes,0,Graduate,No,5695,4167.0,360.0,1.0,Semiurban,5.170483995038151,5.1829913533306105
Yes,3+,Not Graduate,No,4755,0.0,,0.0,Semiurban,4.564348191467836,4.605147673844096
No,3+,Graduate,,416,41667.0,180.0,nan,Urban,5.860786223465865,4.1616776562519116
Yes,3+,Graduate,No,51763,0.0,300.0,1.0,Urban,6.55250788703459,5.865163268992884
No,3+,Not Graduate,No,4707,1993.0,360.0,1.0,Semiurban,5.003946305945459,5.045910456116727
Yes,0,Graduate,No,2920,16.12000084,360.0,1.0,Rural,4.477336814478207,4.668318771170527
Yes,0,Graduate,,3539,1376.0,360.0,1.0,Rural,4.02535169073515,5.075052697289807
Yes,2,Graduate,No,6250,5654.0,180.0,1.0,Semiurban,5.241747015059643,5.040714766946227
No,1,Graduate,No,4723,0.0,360.0,1.0,Semiurban,4.406719247264253,4.700255569597872
No,0,Not Graduate,No,6783,0.0,360.0,1.0,Semiurban,4.875197323201151,4.7917882879872105
No,0,Graduate,No,3692,0.0,360.0,nan,Rural,4.543294782270004,4.656818503164139
Yes,0,Graduate,Yes,16120,0.0,360.0,1.0,Urban,5.564520407322694,5.368210243737568
Yes,1,Not Graduate,No,3399,1640.0,180.0,1.0,Urban,4.718498871295094,4.738224047918322
Yes,2,Graduate,No,3073,8106.0,360.0,1.0,Urban,5.303304908059076,4.918144251133729
Yes,2,Graduate,No,5000,3667.0,360.0,1.0,Semiurban,5.4680601411351315,5.089411918728601
No,0,Graduate,Yes,4583,0.0,360.0,0.0,Semiurban,4.897839799950911,4.788231923551169
No,0,Not Graduate,No,4350,0.0,360.0,1.0,Rural,5.043425116919247,4.620090187300381
No,1,Graduate,No,3812,0.0,360.0,1.0,Rural,4.727387818712341,4.633054231783544
Yes,0,Graduate,Yes,9963,0.0,360.0,1.0,Rural,5.198497031265826,5.164619721293242
No,0,Graduate,Yes,2500,0.0,360.0,nan,Urban,4.543294782270004,4.527949771450381
Yes,0,Not Graduate,No,2917,536.0,360.0,1.0,Rural,4.204692619390966,4.775049998157531
Yes,0,Graduate,No,2698,2034.0,360.0,1.0,Semiurban,4.812184355372417,4.812056388767574
Yes,0,Not Graduate,No,3000,1666.0,480.0,0.0,Urban,4.61512051684126,5.002321729591082
Yes,2,Graduate,No,1299,1086.0,120.0,1.0,Urban,2.8903717578961645,4.213288767418532
No,0,Graduate,No,3229,2739.0,360.0,1.0,Urban,4.709530201312334,4.861354723840668
No,0,Graduate,No,3159,0.0,360.0,1.0,Semiurban,4.61512051684126,4.488686490451883
No,0,Graduate,No,2479,0.0,360.0,1.0,Urban,4.0943445622221,4.393641828942363
No,0,Graduate,No,2014,1929.0,360.0,1.0,Urban,4.31748811353631,4.631508517700428
Yes,0,Not Graduate,Yes,4344,736.0,360.0,1.0,Semiurban,4.477336814478207,5.003081199161419
No,0,Graduate,,3182,2917.0,360.0,1.0,Urban,5.087596335232384,4.984160193305388
No,0,Graduate,No,12000,0.0,360.0,1.0,Semiurban,5.10594547390058,5.095164394574461
No,0,Graduate,No,3237,0.0,360.0,1.0,Urban,3.4339872044851463,4.514852740640502
No,0,Graduate,No,3069,0.0,480.0,1.0,Urban,4.276666119016055,4.603375786888816
Yes,2,Graduate,No,2957,0.0,360.0,1.0,Semiurban,4.406719247264253,4.490312694425951
No,0,Graduate,No,14999,0.0,360.0,0.0,Semiurban,5.493061443340548,5.2636667679051286
No,0,Graduate,No,3086,0.0,360.0,1.0,Semiurban,4.795790545596741,4.478064051936325
Yes,0,Graduate,No,2221,0.0,360.0,0.0,Urban,4.110873864173311,4.471315485055581
Yes,0,Not Graduate,No,3572,4114.0,,0.0,Rural,5.030437921392435,4.78433797563094
No,0,Graduate,No,4095,3447.0,360.0,1.0,Rural,5.0238805208462765,4.994486427669855
Yes,1,Graduate,Yes,2895,0.0,360.0,1.0,Semiurban,4.564348191467836,4.601689935216095
No,0,Graduate,No,2833,1857.0,360.0,1.0,Rural,4.844187086458591,4.799935378360674
Yes,1,Not Graduate,No,4554,1229.0,360.0,1.0,Urban,5.0689042022202315,5.027584854455069
No,0,Not Graduate,No,6045,0.0,360.0,0.0,Rural,4.7535901911063645,4.836736991898325
Yes,1,Graduate,No,6065,2004.0,360.0,1.0,Semiurban,5.5254529391317835,5.2082838343099
Yes,1,Graduate,No,3052,1030.0,360.0,1.0,Urban,4.61512051684126,4.882118289710629
Yes,0,Not Graduate,No,1800,2934.0,360.0,0.0,Urban,4.543294782270004,4.682363239554869
Yes,1,Graduate,No,12000,0.0,360.0,1.0,Semiurban,6.208590026096629,5.184466508262463
No,0,Not Graduate,No,3833,0.0,360.0,1.0,Rural,4.709530201312334,4.562598701089554
Yes,2,Graduate,No,5819,5000.0,360.0,1.0,Rural,4.795790545596741,5.202122477484186
Yes,1,Graduate,No,2491,2054.0,360.0,1.0,Semiurban,4.653960350157523,4.805046124104098
Yes,2,Not Graduate,No,2281,0.0,360.0,1.0,Rural,4.736198448394496,4.3584334453616
No,0,Graduate,No,4917,0.0,360.0,0.0,Rural,4.875197323201151,4.787012617453142
No,2,Graduate,No,3617,0.0,360.0,1.0,Semiurban,4.68213122712422,4.5213747509965385
Yes,1,Graduate,Yes,3466,1210.0,360.0,1.0,Rural,4.875197323201151,5.025415872721609
Yes,0,Graduate,No,2383,3334.0,360.0,1.0,Semiurban,5.153291594497779,4.777347093869919
No,0,Graduate,No,6277,0.0,360.0,0.0,Rural,4.77912349311153,4.897975817322604
Yes,2,Graduate,No,5935,0.0,360.0,1.0,Semiurban,4.897839799950911,4.806874149515163
Yes,2,Graduate,No,4167,1447.0,360.0,1.0,Rural,5.0689042022202315,4.995953218877714
Yes,0,Graduate,No,2439,3333.0,360.0,1.0,Rural,4.867534450455582,4.818054525827127
No,0,Graduate,Yes,15759,0.0,360.0,1.0,Semiurban,4.02535169073515,5.282357433161167
No,0,Graduate,No,3244,0.0,360.0,1.0,Urban,4.394449154672439,4.515834206709115
Yes,0,Graduate,Yes,674,5296.0,360.0,1.0,Rural,5.1298987149230735,4.317701375191359
Yes,0,Graduate,,6256,0.0,360.0,nan,Urban,5.081404364984463,5.0685478048592465
Yes,3+,Graduate,No,15000,0.0,360.0,1.0,Rural,5.707110264748875,5.373696304317971
Yes,0,Graduate,No,2330,4486.0,360.0,1.0,Semiurban,4.61512051684126,4.780159482843775
No,0,Not Graduate,No,1963,0.0,360.0,1.0,Semiurban,3.9889840465642745,4.228411486689246
Yes,,Not Graduate,Yes,4735,0.0,360.0,1.0,Urban,4.9344739331306915,4.825021177328182
Yes,0,Graduate,No,150,1800.0,360.0,1.0,Rural,4.912654885736052,3.526406914540317
Yes,2,Graduate,No,3510,4416.0,360.0,1.0,Rural,5.497168225293202,4.966970807275413
Yes,3+,Not Graduate,No,3992,0.0,180.0,1.0,Urban,4.709530201312334,4.543831365187316
No,0,Graduate,No,5000,2541.0,480.0,1.0,Rural,5.0238805208462765,5.184564593345086
No,0,Graduate,No,2526,1783.0,360.0,1.0,Rural,4.983606621708336,4.746040518068054
Yes,2,Not Graduate,No,1958,1456.0,300.0,nan,Urban,4.110873864173311,4.604631343376057
Yes,0,Graduate,No,2213,1125.0,360.0,1.0,Urban,4.709530201312334,4.7111245715472645
No,0,Graduate,Yes,10416,0.0,360.0,0.0,Urban,5.236441962829949,5.176390838437031
Yes,2,Graduate,No,2947,1603.0,360.0,1.0,Urban,4.709530201312334,4.827968820065299
Yes,0,Graduate,No,3497,1964.0,360.0,1.0,Rural,4.762173934797756,4.958540812731531
Yes,1,Not Graduate,No,2492,2375.0,360.0,1.0,Rural,4.709530201312334,4.797645442772323
No,0,Not Graduate,No,3620,0.0,120.0,1.0,Semiurban,3.258096538021482,4.280977836383242
No,0,Graduate,Yes,6400,0.0,360.0,1.0,Rural,5.303304908059076,4.903021770666719
Yes,3+,Graduate,No,81000,0.0,360.0,0.0,Rural,5.8888779583328805,6.207244934509127
No,1,Not Graduate,Yes,4053,2426.0,360.0,0.0,Urban,5.0689042022202315,5.074474319895659
No,0,Not Graduate,No,2717,0.0,180.0,1.0,Urban,4.110873864173311,4.22205875874716
,,Graduate,No,4758,0.0,480.0,1.0,Semiurban,5.0689042022202315,4.784698760972216
Yes,2,Not Graduate,No,4288,3263.0,180.0,1.0,Urban,4.897839799950911,4.816337580506877
Yes,0,Graduate,No,3075,2416.0,360.0,1.0,Rural,4.941642422609304,4.909203278490228
No,0,Not Graduate,No,3358,0.0,36.0,1.0,Semiurban,4.394449154672439,4.1679263878044805
No,0,Graduate,No,2500,0.0,480.0,1.0,Semiurban,4.574710978503383,4.495127473498307
Yes,2,Graduate,No,4616,0.0,360.0,1.0,Urban,4.90527477843843,4.707749590543825
Yes,2,Graduate,No,6250,1695.0,360.0,1.0,Semiurban,5.351858133476067,5.156934327217502
Yes,3+,Graduate,No,9504,0.0,360.0,1.0,Rural,5.62040086571715,5.166313607017855
Yes,2,Graduate,Yes,6000,0.0,240.0,1.0,Semiurban,5.327876168789581,4.762438014738166
Yes,2,Graduate,No,7583,0.0,360.0,1.0,Urban,5.236441962829949,4.933310351208261
No,0,Graduate,No,3254,0.0,360.0,1.0,Urban,3.9318256327243257,4.517232634636609
No,2,Graduate,No,3427,0.0,360.0,1.0,Urban,4.9344739331306915,4.511941711679781
Yes,1,Graduate,No,2750,1842.0,360.0,1.0,Semiurban,4.7535901911063645,4.84520383729332
Yes,2,Graduate,Yes,16525,1014.0,360.0,1.0,Rural,5.017279836814924,5.669759309102801
No,0,Graduate,,2980,2083.0,360.0,1.0,Rural,4.795790545596741,4.954663037885846
Yes,0,Graduate,No,11146,0.0,360.0,1.0,Urban,4.919980925828125,5.137173923062244
